service,gender,race,hispanicity,paygrade,count
Navy,FEMALE,AMI/ALN,HISP,O10,0
Navy,FEMALE,AMI/ALN,NON-HISP,O10,0
Navy,FEMALE,ASIAN,HISP,O10,0
Navy,FEMALE,ASIAN,NON-HISP,O10,0
Navy,FEMALE,BLACK,HISP,O10,0
Navy,FEMALE,BLACK,NON-HISP,O10,0
Navy,FEMALE,MULTI,HISP,O10,0
Navy,FEMALE,MULTI,NON-HISP,O10,0
Navy,FEMALE,P/I,HISP,O10,0
Navy,FEMALE,P/I,NON-HISP,O10,0
Navy,FEMALE,WHITE,HISP,O10,0
Navy,FEMALE,WHITE,NON-HISP,O10,0
Navy,FEMALE,UNK,HISP,O10,0
Navy,FEMALE,UNK,NON-HISP,O10,0
Marine Corps,MALE,AMI/ALN,HISP,O01,3
Marine Corps,MALE,AMI/ALN,NON-HISP,O01,29
Marine Corps,MALE,ASIAN,HISP,O01,2
Marine Corps,MALE,ASIAN,NON-HISP,O01,78
Marine Corps,MALE,BLACK,HISP,O01,3
Marine Corps,MALE,BLACK,NON-HISP,O01,117
Marine Corps,MALE,MULTI,HISP,O01,1
Marine Corps,MALE,MULTI,NON-HISP,O01,53
